player,minutes,sweeper_actions,avg_distance_from_goal,max_distance_from_goal,shots_faced,shots_saved,goals_conceded,save_pct,total_passes,pass_success_pct,avg_pass_length,long_ball_pct,sweeper_actions_p90,shots_faced_p90
Damián Emiliano Martínez,739,4.0,13.52,16.23,33,6.0,5.0,18.18,186,66.13,41.91,44.09,0.49,4.02
Dominik Livaković,725,2.0,10.17,16.49,53,24.0,6.0,45.28,228,82.89,31.75,31.58,0.25,6.58
Hugo Lloris,613,4.0,16.13,24.61,51,16.0,4.0,31.37,182,60.99,47.18,59.34,0.59,7.49
Yassine Bounou,603,4.0,16.72,22.49,50,7.0,4.0,14.0,210,74.29,39.34,42.86,0.6,7.46
Andries Noppert,515,6.0,17.73,24.12,46,18.0,3.0,39.13,191,82.2,32.57,31.41,1.05,8.04
Diogo Meireles Costa,488,4.0,21.54,33.02,33,12.0,6.0,36.36,159,69.81,37.33,37.74,0.74,6.09
Jordan Pickford,485,1.0,24.48,24.48,32,6.0,3.0,18.75,161,78.26,36.24,36.02,0.19,5.94
Unai Simón Mendibil,415,3.0,30.92,42.62,13,6.0,3.0,46.15,158,93.67,23.36,8.23,0.65,2.82
Shūichi Gonda,415,1.0,18.85,18.85,41,15.0,3.0,36.59,113,61.06,42.88,50.44,0.22,8.89
Alisson Ramsés Becker,410,1.0,31.7,31.7,20,5.0,2.0,25.0,94,85.11,24.37,15.96,0.22,4.39
Wojciech Szczęsny,389,3.0,14.04,20.03,38,23.0,5.0,60.53,146,60.27,49.52,67.81,0.69,8.79
Matthew Charles Turner,389,5.0,18.02,36.36,17,9.0,3.0,52.94,126,77.78,35.41,33.33,1.16,3.93
Mathew Ryan,386,6.0,19.13,36.5,46,13.0,6.0,28.26,163,68.71,44.16,57.67,1.4,10.73
Seung-Gyu Kim,386,3.0,12.02,15.38,28,12.0,7.0,42.86,128,73.44,37.18,34.38,0.7,6.53
Edouard Mendy,386,6.0,19.64,28.09,23,7.0,7.0,30.43,117,76.92,37.53,43.59,1.4,5.36
Lawrence Ati-Zigi,300,2.0,19.62,23.12,27,10.0,6.0,37.04,76,67.11,41.23,47.37,0.6,8.1
Mohammed Khalil Al Owais,297,7.0,25.15,37.84,31,14.0,4.0,45.16,98,54.08,49.9,65.31,2.12,9.39
Sergio Rochet Álvarez,297,2.0,15.91,18.07,24,4.0,1.0,16.67,76,69.74,37.59,43.42,0.61,7.27
Aymen Dahmen,295,2.0,13.38,16.16,20,9.0,1.0,45.0,77,62.34,45.42,62.34,0.61,6.1
Keylor Navas Gamboa,294,6.0,13.34,23.58,39,11.0,10.0,28.21,101,54.46,50.13,59.41,1.84,11.94
Manuel Neuer,293,4.0,25.15,43.14,14,7.0,4.0,50.0,123,90.24,29.28,20.33,1.23,4.3
Vanja Milinković Savić,293,3.0,21.27,24.7,26,16.0,8.0,61.54,127,72.44,40.65,40.16,0.92,7.99
Kasper Schmeichel,290,3.0,15.85,26.71,31,8.0,3.0,25.81,87,82.76,33.17,27.59,0.93,9.62
Francisco Guillermo Ochoa Magaña,290,1.0,27.91,27.91,15,2.0,3.0,13.33,108,83.33,32.7,27.78,0.31,4.66
Hernán Ismael Galíndez,287,2.0,14.23,14.56,16,1.0,2.0,6.25,77,57.14,47.55,58.44,0.63,5.02
Yann Sommer,285,2.0,13.16,18.16,17,12.0,7.0,70.59,117,91.45,24.69,17.95,0.63,5.37
Milan Borjan,284,4.0,14.41,18.2,14,8.0,7.0,57.14,96,78.12,34.82,33.33,1.27,4.44
Thibaut Courtois,283,1.0,27.93,27.93,32,8.0,2.0,25.0,122,89.34,30.34,22.95,0.32,10.18
Seyed Hossein Hosseini,205,1.0,17.67,17.67,11,4.0,6.0,36.36,48,45.83,49.83,70.83,0.44,4.83
Wayne Hennessey,202,1.0,17.31,17.31,15,4.0,1.0,26.67,66,78.79,38.12,42.42,0.45,6.68
Alireza Safar Beiranvand,202,,,,8,4.0,1.0,50.0,31,67.74,45.12,51.61,,3.56
Daniel Ward,196,,,,16,4.0,5.0,25.0,39,61.54,49.71,69.23,,7.35
Devis Rogers Epassy Mboka,196,1.0,12.73,12.73,23,10.0,3.0,43.48,84,66.67,48.38,63.1,0.46,10.56
Meshaal Aissa Barsham,192,1.0,19.38,19.38,17,3.0,5.0,17.65,63,69.84,30.67,39.68,0.47,7.97
Steve Mandanda,102,1.0,13.15,13.15,2,2.0,1.0,100.0,31,58.06,35.47,41.94,0.88,1.76
Ederson Santana de Moraes,100,,,,4,2.0,1.0,50.0,30,93.33,28.38,16.67,,3.6
Gregor Kobel,100,,,,8,2.0,2.0,25.0,29,65.52,37.33,34.48,,7.2
André Onana,96,2.0,15.75,15.94,4,2.0,1.0,50.0,60,73.33,35.27,35.0,1.88,3.75
Saad Abdullah Al Sheeb,95,2.0,11.33,12.46,3,1.0,1.0,33.33,21,80.95,29.75,28.57,1.89,2.84
Munir Mohand Mohamedi,95,1.0,23.28,23.28,6,4.0,0.0,66.67,27,66.67,44.27,48.15,0.95,5.68
Weverton Pereira da Silva,93,,,,1,0.0,0.0,0.0,5,80.0,63.76,100.0,,0.97
