Guarda-redes,Minutos jogados,% de remates defendidos,Remates sofridos por jogo,Saídas da baliza por jogo,Distância média a que atua (m),% de passes certos,Comprimento médio do passe (m),% de bola longa
Yann Sommer,285,70.6,5.4,0.6,13.2,91.5,24.7,17.9
Vanja Milinković Savić,293,61.5,8.0,0.9,21.3,72.4,40.7,40.2
Wojciech Szczęsny,389,60.5,8.8,0.7,14.0,60.3,49.5,67.8
Milan Borjan,284,57.1,4.4,1.3,14.4,78.1,34.8,33.3
Matthew Charles Turner,389,52.9,3.9,1.2,18.0,77.8,35.4,33.3
Manuel Neuer,293,50.0,4.3,1.2,25.2,90.2,29.3,20.3
Alireza Safar Beiranvand,202,50.0,3.6,,,67.7,45.1,51.6
Unai Simón Mendibil,415,46.2,2.8,0.7,30.9,93.7,23.4,8.2
Dominik Livaković,725,45.3,6.6,0.2,10.2,82.9,31.8,31.6
Mohammed Khalil Al Owais,297,45.2,9.4,2.1,25.2,54.1,49.9,65.3
Aymen Dahmen,295,45.0,6.1,0.6,13.4,62.3,45.4,62.3
Devis Rogers Epassy Mboka,196,43.5,10.6,0.5,12.7,66.7,48.4,63.1
Seung-Gyu Kim,386,42.9,6.5,0.7,12.0,73.4,37.2,34.4
Andries Noppert,515,39.1,8.0,1.0,17.7,82.2,32.6,31.4
Lawrence Ati-Zigi,300,37.0,8.1,0.6,19.6,67.1,41.2,47.4
Shūichi Gonda,415,36.6,8.9,0.2,18.9,61.1,42.9,50.4
Seyed Hossein Hosseini,205,36.4,4.8,0.4,17.7,45.8,49.8,70.8
Diogo Meireles Costa,488,36.4,6.1,0.7,21.5,69.8,37.3,37.7
Hugo Lloris,613,31.4,7.5,0.6,16.1,61.0,47.2,59.3
Edouard Mendy,386,30.4,5.4,1.4,19.6,76.9,37.5,43.6
Mathew Ryan,386,28.3,10.7,1.4,19.1,68.7,44.2,57.7
Keylor Navas Gamboa,294,28.2,11.9,1.8,13.3,54.5,50.1,59.4
Wayne Hennessey,202,26.7,6.7,0.4,17.3,78.8,38.1,42.4
Kasper Schmeichel,290,25.8,9.6,0.9,15.8,82.8,33.2,27.6
Daniel Ward,196,25.0,7.3,,,61.5,49.7,69.2
Alisson Ramsés Becker,410,25.0,4.4,0.2,31.7,85.1,24.4,16.0
Thibaut Courtois,283,25.0,10.2,0.3,27.9,89.3,30.3,23.0
Jordan Pickford,485,18.8,5.9,0.2,24.5,78.3,36.2,36.0
Damián Emiliano Martínez,739,18.2,4.0,0.5,13.5,66.1,41.9,44.1
Meshaal Aissa Barsham,192,17.6,8.0,0.5,19.4,69.8,30.7,39.7
Sergio Rochet Álvarez,297,16.7,7.3,0.6,15.9,69.7,37.6,43.4
Yassine Bounou,603,14.0,7.5,0.6,16.7,74.3,39.3,42.9
Francisco Guillermo Ochoa Magaña,290,13.3,4.7,0.3,27.9,83.3,32.7,27.8
Hernán Ismael Galíndez,287,6.2,5.0,0.6,14.2,57.1,47.6,58.4
